RprtDt,StateCd,SrvcDstrctNm,PrtcpntCnt
30-Sep-19,NSW,Northern NSW,248
30-Sep-19,NSW,South Eastern Sydney,522
30-Sep-19,NSW,South Western Sydney,802
30-Sep-19,NSW,Southern NSW,197
30-Sep-19,NSW,Sydney,388
30-Sep-19,NSW,Western NSW,448
30-Sep-19,NSW,Western Sydney,939
30-Sep-19,NT,Barkly,16
30-Sep-19,NT,Central Australia,87
30-Sep-19,NT,Darwin Urban,183
30-Sep-19,NT,Katherine,25
30-Sep-19,QLD,Beenleigh,364
30-Sep-19,QLD,Brisbane,891
30-Sep-19,QLD,Bundaberg,145
30-Sep-19,QLD,Caboolture/Strathpine,346
30-Sep-19,QLD,Cairns,231
30-Sep-19,QLD,Ipswich,314
30-Sep-19,QLD,Mackay,106
30-Sep-19,QLD,Maroochydore,279
30-Sep-19,QLD,Maryborough,172
30-Sep-19,QLD,Robina,348
30-Sep-19,QLD,Rockhampton,218
30-Sep-19,QLD,Toowoomba,388
30-Sep-19,QLD,Townsville,258
30-Sep-19,SA,Adelaide Hills,60
30-Sep-19,SA,"Barossa, Light and Lower North",40
30-Sep-19,SA,Eastern Adelaide,210
30-Sep-19,SA,Eyre and Western,34
30-Sep-19,SA,Far North (SA),22
30-Sep-19,SA,Fleurieu and Kangaroo Island,48
30-Sep-19,SA,Limestone Coast,73
30-Sep-19,SA,Murray and Mallee,100
30-Sep-19,SA,Northern Adelaide,662
30-Sep-19,SA,Southern Adelaide,661
30-Sep-19,SA,Western Adelaide,168
30-Sep-19,SA,Yorke and Mid North,54
30-Sep-19,TAS,TAS North,188
30-Sep-19,TAS,TAS North West,185
30-Sep-19,TAS,TAS South East,138
30-Sep-19,TAS,TAS South West,280
30-Sep-19,VIC,Barwon,366
30-Sep-19,VIC,Bayside Peninsula,768
30-Sep-19,VIC,Brimbank Melton,172
30-Sep-19,VIC,Central Highlands,215
30-Sep-19,VIC,Goulburn,85
30-Sep-19,VIC,Hume Moreland,195
30-Sep-19,VIC,Inner East Melbourne,700
30-Sep-19,VIC,Inner Gippsland,131
30-Sep-19,VIC,Loddon,228
30-Sep-19,VIC,Mallee,85
30-Sep-19,VIC,North East Melbourne,677
30-Sep-19,VIC,Outer East Melbourne,408
30-Sep-19,VIC,Outer Gippsland,68
30-Sep-19,VIC,Ovens Murray,139
30-Sep-19,VIC,Southern Melbourne,224
30-Sep-19,VIC,Western District,254
30-Sep-19,VIC,Western Melbourne,215
30-Sep-19,WA,Central North Metro,34
30-Sep-19,WA,Central South Metro,160
30-Sep-19,WA,Kimberley-Pilbara,31
30-Sep-19,WA,North East Metro,454
30-Sep-19,WA,North Metro,67
30-Sep-19,WA,South East Metro,38
30-Sep-19,WA,South Metro,243
30-Sep-19,WA,South West,99
30-Sep-19,WA,WA - Other,12
30-Sep-19,WA,Wheat Belt,15
30-Jun-19,ACT,ACT,415
30-Jun-19,NSW,Central Coast,403
30-Jun-19,NSW,Far West,20
30-Jun-19,NSW,Hunter New England,1580
30-Jun-19,NSW,Illawarra Shoalhaven,410
30-Jun-19,NSW,Mid North Coast,195
30-Jun-19,NSW,Murrumbidgee,311
30-Jun-19,NSW,Nepean Blue Mountains,487
30-Jun-19,NSW,North Sydney,823
30-Jun-19,NSW,Northern NSW,242
30-Jun-19,NSW,South Eastern Sydney,507
30-Jun-19,NSW,South Western Sydney,779
30-Jun-19,NSW,Southern NSW,192
30-Jun-19,NSW,Sydney,379
30-Jun-19,NSW,Western NSW,437
30-Jun-19,NSW,Western Sydney,915
30-Jun-19,NT,Barkly,14
30-Jun-19,NT,Central Australia,87
30-Jun-19,NT,Darwin Urban,165
30-Jun-19,NT,Katherine,24
30-Jun-19,QLD,Beenleigh,352
30-Jun-19,QLD,Brisbane,878
30-Jun-19,QLD,Bundaberg,145
30-Jun-19,QLD,Caboolture/Strathpine,342
30-Jun-19,QLD,Cairns,228
30-Jun-19,QLD,Ipswich,304
30-Jun-19,QLD,Mackay,103
30-Jun-19,QLD,Maroochydore,274
30-Jun-19,QLD,Maryborough,171
30-Jun-19,QLD,Robina,339
30-Jun-19,QLD,Rockhampton,211
30-Jun-19,QLD,Toowoomba,376
30-Jun-19,QLD,Townsville,256
30-Jun-19,SA,Adelaide Hills,59
30-Jun-19,SA,"Barossa, Light and Lower North",38
30-Jun-19,SA,Eastern Adelaide,210
30-Jun-19,SA,Eyre and Western,35
30-Jun-19,SA,Far North (SA),21
30-Jun-19,SA,Fleurieu and Kangaroo Island,47
30-Jun-19,SA,Limestone Coast,66
30-Jun-19,SA,Murray and Mallee,100
30-Jun-19,SA,Northern Adelaide,662
30-Jun-19,SA,Southern Adelaide,666
30-Jun-19,SA,Western Adelaide,171
30-Jun-19,SA,Yorke and Mid North,54
30-Jun-19,TAS,TAS North,183
