RprtDt,StateCd,SrvcDstrctNm,PrtcpntCnt
31-Dec-20,VIC,Southern Melbourne,246
31-Dec-20,VIC,Western District,269
31-Dec-20,VIC,Western Melbourne,249
31-Dec-20,WA,Central North Metro,263
31-Dec-20,WA,Central South Metro,86
31-Dec-20,WA,Goldfields-Esperance,13
31-Dec-20,WA,Great Southern,15
31-Dec-20,WA,Midwest-Gascoyne,15
31-Dec-20,WA,North East Metro,302
31-Dec-20,WA,North Metro,110
31-Dec-20,WA,Other,<11
31-Dec-20,WA,South East Metro,232
31-Dec-20,WA,South Metro,78
31-Dec-20,WA,South West,34
30-Sep-20,ACT,ACT,106
30-Sep-20,MIS,Other,<11
30-Sep-20,NSW,Central Coast,250
30-Sep-20,NSW,Hunter New England,784
30-Sep-20,NSW,Illawarra Shoalhaven,341
30-Sep-20,NSW,Mid North Coast,159
30-Sep-20,NSW,Murrumbidgee,247
30-Sep-20,NSW,Nepean Blue Mountains,382
30-Sep-20,NSW,North Sydney,740
30-Sep-20,NSW,Northern NSW,220
30-Sep-20,NSW,Other,<11
30-Sep-20,NSW,South Eastern Sydney,418
30-Sep-20,NSW,South Western Sydney,453
30-Sep-20,NSW,Southern NSW,144
30-Sep-20,NSW,Sydney,264
30-Sep-20,NSW,Western NSW,352
30-Sep-20,NSW,Western Sydney,665
30-Sep-20,NT,Central Australia,36
30-Sep-20,NT,Darwin Urban,76
30-Sep-20,NT,Katherine,17
30-Sep-20,NT,Other,<11
30-Sep-20,QLD,Beenleigh,93
30-Sep-20,QLD,Brisbane,292
30-Sep-20,QLD,Bundaberg,52
30-Sep-20,QLD,Caboolture/Strathpine,102
30-Sep-20,QLD,Cairns,59
30-Sep-20,QLD,Ipswich,215
30-Sep-20,QLD,Mackay,20
30-Sep-20,QLD,Maroochydore,101
30-Sep-20,QLD,Maryborough,65
30-Sep-20,QLD,Robina,90
30-Sep-20,QLD,Rockhampton,96
30-Sep-20,QLD,Toowoomba,205
30-Sep-20,QLD,Townsville,61
30-Sep-20,SA,Adelaide Hills,37
30-Sep-20,SA,"Barossa, Light and Lower North",22
30-Sep-20,SA,Eastern Adelaide,162
30-Sep-20,SA,Eyre and Western,27
30-Sep-20,SA,Far North (SA),19
30-Sep-20,SA,Fleurieu and Kangaroo Island,31
30-Sep-20,SA,Limestone Coast,45
30-Sep-20,SA,Murray and Mallee,71
30-Sep-20,SA,Northern Adelaide,541
30-Sep-20,SA,Southern Adelaide,539
30-Sep-20,SA,Western Adelaide,145
30-Sep-20,SA,Yorke and Mid North,30
30-Sep-20,TAS,TAS North,114
30-Sep-20,TAS,TAS North West,113
30-Sep-20,TAS,TAS South East,57
30-Sep-20,TAS,TAS South West,140
30-Sep-20,VIC,Barwon,301
30-Sep-20,VIC,Bayside Peninsula,735
30-Sep-20,VIC,Brimbank Melton,190
30-Sep-20,VIC,Central Highlands,247
30-Sep-20,VIC,Goulburn,88
30-Sep-20,VIC,Hume Moreland,201
30-Sep-20,VIC,Inner East Melbourne,752
30-Sep-20,VIC,Inner Gippsland,133
30-Sep-20,VIC,Loddon,236
30-Sep-20,VIC,Mallee,86
30-Sep-20,VIC,North East Melbourne,685
30-Sep-20,VIC,Outer East Melbourne,415
30-Sep-20,VIC,Outer Gippsland,67
30-Sep-20,VIC,Ovens Murray,137
30-Sep-20,VIC,Southern Melbourne,236
30-Sep-20,VIC,Western District,265
30-Sep-20,VIC,Western Melbourne,230
30-Sep-20,WA,Central North Metro,262
30-Sep-20,WA,Central South Metro,83
30-Sep-20,WA,Goldfields-Esperance,14
30-Sep-20,WA,Great Southern,13
30-Sep-20,WA,Midwest-Gascoyne,15
30-Sep-20,WA,North East Metro,239
30-Sep-20,WA,North Metro,109
30-Sep-20,WA,Other,<11
30-Sep-20,WA,South East Metro,184
30-Sep-20,WA,South Metro,71
30-Sep-20,WA,South West,31
31-Mar-20,ACT,ACT,47
31-Mar-20,ACT,Other,<11
31-Mar-20,NSW,Central Coast,192
31-Mar-20,NSW,Hunter New England,794
31-Mar-20,NSW,Illawarra Shoalhaven,316
31-Mar-20,NSW,Mid North Coast,151
31-Mar-20,NSW,Murrumbidgee,227
31-Mar-20,NSW,Nepean Blue Mountains,351
31-Mar-20,NSW,North Sydney,696
31-Mar-20,NSW,Northern NSW,173
31-Mar-20,NSW,Other,<11
31-Mar-20,NSW,South Eastern Sydney,378
31-Mar-20,NSW,South Western Sydney,410
31-Mar-20,NSW,Southern NSW,146
31-Mar-20,NSW,Sydney,256
31-Mar-20,NSW,Western NSW,346
31-Mar-20,NSW,Western Sydney,623
31-Mar-20,NT,Central Australia,36
31-Mar-20,NT,Darwin Urban,81
31-Mar-20,NT,Katherine,16
31-Mar-20,NT,Other,<11
31-Mar-20,QLD,Beenleigh,103
31-Mar-20,QLD,Brisbane,264
31-Mar-20,QLD,Bundaberg,48
31-Mar-20,QLD,Caboolture/Strathpine,77
31-Mar-20,QLD,Cairns,53
31-Mar-20,QLD,Ipswich,207
31-Mar-20,QLD,Mackay,17
