SA2_NAME16,total_pop,ancestry_1,ancestry_2,total_ancestry,pop_prop,sa3_name_2016,sa4_name_2016,focus_area,greater_syd_pop,greater_syd_average_south_asian,area_diff
Casula,15661,1522,173,1695,0.10823063661324309,Liverpool,Sydney - South West,Greater Sydney,4495958,0.07729520604952271,0.030935430563720376
Bexley,26480,2592,239,2831,0.10691087613293052,Kogarah - Rockdale,Sydney - Inner South West,Greater Sydney,4495958,0.07729520604952271,0.029615670083407805
Baulkham Hills (East),22943,2226,207,2433,0.10604541690275901,Baulkham Hills,Sydney - Baulkham Hills and Hawkesbury,Greater Sydney,4495958,0.07729520604952271,0.0287502108532363
Kingswood - Werrington,19577,1811,262,2073,0.10588956428461971,Penrith,Sydney - Outer West and Blue Mountains,Greater Sydney,4495958,0.07729520604952271,0.028594358235096998
Macquarie Park - Marsfield,21728,2106,184,2290,0.1053939617083947,Ryde - Hunters Hill,Sydney - Ryde,Greater Sydney,4495958,0.07729520604952271,0.028098755658871988
Rouse Hill - Beaumont Hills,22651,2017,256,2273,0.10034877047370977,Rouse Hill - McGraths Hill,Sydney - Baulkham Hills and Hawkesbury,Greater Sydney,4495958,0.07729520604952271,0.02305356442418706
Lalor Park - Kings Langley,24874,2151,306,2457,0.09877784031518855,Blacktown,Sydney - Blacktown,Greater Sydney,4495958,0.07729520604952271,0.021482634265665837
Regents Park,5067,438,56,494,0.09749358594829288,Auburn,Sydney - Parramatta,Greater Sydney,4495958,0.07729520604952271,0.020198379898770172
Mortdale - Penshurst,23907,2125,163,2288,0.0957041870581838,Hurstville,Sydney - Inner South West,Greater Sydney,4495958,0.07729520604952271,0.01840898100866109
Kogarah Bay - Carlton - Allawah,15965,1405,111,1516,0.0949577200125274,Kogarah - Rockdale,Sydney - Inner South West,Greater Sydney,4495958,0.07729520604952271,0.017662513963004695
Punchbowl,20753,1739,230,1969,0.09487784898568882,Canterbury,Sydney - Inner South West,Greater Sydney,4495958,0.07729520604952271,0.017582642936166112
West Hoxton - Middleton Grange,15187,1242,196,1438,0.0946862448146441,Bringelly - Green Valley,Sydney - South West,Greater Sydney,4495958,0.07729520604952271,0.017391038765121394
