X,Y,OBJECTID,asset_id,TreeType,SpeciesName,CommonName,TreeHeight,TreeCanopyEW,TreeCanopyNS,Tree_Status
151.2071129,-33.92265311,20063,TS07240,Street Tree,Jacaranda mimosifolia,Jacaranda,5,4,4,Tree
151.2069382,-33.92264326,20064,TS07242,Street Tree,Jacaranda mimosifolia,Jacaranda,8,10,10,Tree
151.1970883,-33.91666438,20095,TS07359,Street Tree,Jacaranda mimosifolia,Jacaranda,8,7,7,Tree
151.1933861,-33.91491774,20109,TS07409,Street Tree,Jacaranda mimosifolia,Jacaranda,9,10,8,Tree
151.188212,-33.89959501,20290,TP04655,Street Tree,Jacaranda mimosifolia,Jacaranda,8,5,5,Tree
151.1878566,-33.90139713,20321,TS07718,Street Tree,Jacaranda mimosifolia,Jacaranda,11,8,12,Tree
151.1855024,-33.90218953,20424,TS04612,Street Tree,Jacaranda mimosifolia,Jacaranda,8,8,8,Tree
151.1856134,-33.90220343,20425,TS04613,Street Tree,Jacaranda mimosifolia,Jacaranda,9,10,12,Tree
151.1862548,-33.90238493,20426,TS04624,Street Tree,Jacaranda mimosifolia,Jacaranda,9,7,7,Tree
151.1864766,-33.90242039,20427,TS04626,Street Tree,Jacaranda mimosifolia,Jacaranda,12,11,9,Tree
151.1867811,-33.90246807,20428,TS04629,Street Tree,Jacaranda mimosifolia,Jacaranda,9,10,10,Tree
151.1892928,-33.90281603,20429,TS04641,Street Tree,Jacaranda mimosifolia,Jacaranda,5,3,2,Tree
151.1891099,-33.90279837,20430,TS04642,Street Tree,Jacaranda mimosifolia,Jacaranda,7,10,8,Tree
151.1881245,-33.90264736,20431,TS04648,Street Tree,Jacaranda mimosifolia,Jacaranda,7,6,7,Tree
151.1883594,-33.90268039,20432,TS04639,Street Tree,Jacaranda mimosifolia,Jacaranda,6,3,4,Tree
151.187238,-33.90251393,20433,TS33187,Street Tree,Jacaranda mimosifolia,Jacaranda,9,8,8,Tree
151.187283,-33.90253596,20434,TS33188,Street Tree,Jacaranda mimosifolia,Jacaranda,11,12,10,Tree
151.187104,-33.90251196,20435,TS33190,Street Tree,Jacaranda mimosifolia,Jacaranda,6,7,7,Tree
151.1907006,-33.90291887,20436,TS04675,Street Tree,Jacaranda mimosifolia,Jacaranda,10,10,15,Tree
151.1908655,-33.9030644,20437,TS04663,Street Tree,Jacaranda mimosifolia,Jacaranda,12,14,12,Tree
151.1915993,-33.90396718,20691,TS05101,Street Tree,Jacaranda mimosifolia,Jacaranda,9,10,8,Tree
151.1866758,-33.8940857,20732,TS05186,Street Tree,Jacaranda mimosifolia,Jacaranda,11,7,7,Tree
151.2104578,-33.89322404,20753,TS05279,Street Tree,Jacaranda mimosifolia,Jacaranda,6,4,3,Tree
151.1991213,-33.8956715,20757,TS05300,Street Tree,Jacaranda mimosifolia,Jacaranda,8,8,8,Tree
151.1991674,-33.89534863,20762,TS05311,Street Tree,Jacaranda mimosifolia,Jacaranda,10,7,7,Tree
151.1968187,-33.89815465,20982,TS08629,Street Tree,Jacaranda mimosifolia,Jacaranda,7,6,6,Tree
151.197032,-33.89875202,20990,TS08618,Street Tree,Jacaranda mimosifolia,Jacaranda,4,1,1,Tree
151.1796824,-33.8996475,20993,TS08644,Street Tree,Jacaranda mimosifolia,Jacaranda,7,3,4,Tree
151.1801808,-33.89960753,20995,TS08651,Street Tree,Jacaranda mimosifolia,Jacaranda,10,11,10,Tree
151.1794222,-33.89963058,21000,TS08655,Street Tree,Jacaranda mimosifolia,Jacaranda,5,2,2,Tree
151.1800993,-33.89946583,21001,TS08656,Street Tree,Jacaranda mimosifolia,Jacaranda,9,6,5,Tree
151.2066757,-33.89111532,21091,TS08820,Street Tree,Jacaranda mimosifolia,Jacaranda,7,4,3,Tree
151.2064595,-33.89290772,21094,TS08854,Street Tree,Jacaranda mimosifolia,Jacaranda,12,13,14,Tree
151.2066654,-33.89190564,21096,TS08867,Street Tree,Jacaranda mimosifolia,Jacaranda,12,12,12,Tree
151.187775,-33.89957605,21122,TP04657,Street Tree,Jacaranda mimosifolia,Jacaranda,7,5,5,Tree
151.1912471,-33.89801181,21167,TS05890,Street Tree,Jacaranda mimosifolia,Jacaranda,11,7,7,Tree
151.182608,-33.89569305,21212,TS31420,Street Tree,Jacaranda mimosifolia,Jacaranda,6,5,5,Tree
151.183018,-33.89652599,21213,TS06088,Street Tree,Jacaranda mimosifolia,Jacaranda,9,6,7,Tree
151.2151095,-33.89296367,21498,TS06643,Street Tree,Jacaranda mimosifolia,Jacaranda,2,1,1,Tree
151.1971578,-33.89908272,21560,TS08637,Street Tree,Jacaranda mimosifolia,Jacaranda,8,9,8,Tree
151.1793438,-33.89960931,21563,TS08640,Street Tree,Jacaranda mimosifolia,Jacaranda,10,10,8,Tree
151.1796277,-33.89965391,21564,TS08643,Street Tree,Jacaranda mimosifolia,Jacaranda,10,12,10,Tree
151.1800893,-33.89959707,21565,TS08650,Street Tree,Jacaranda mimosifolia,Jacaranda,8,7,8,Tree
151.1800083,-33.89959127,21568,TS08657,Street Tree,Jacaranda mimosifolia,Jacaranda,7,5,6,Tree
151.1792922,-33.89946987,21569,TS31459,Street Tree,Jacaranda mimosifolia,Jacaranda,6,4,3,Tree
151.2063874,-33.89246229,21614,TS08847,Street Tree,Jacaranda mimosifolia,Jacaranda,9,8,5,Tree
151.2064839,-33.89280068,21627,TS08899,Street Tree,Jacaranda mimosifolia,Jacaranda,8,4,5,Tree
151.1854005,-33.90579894,21747,TS06946,Street Tree,Jacaranda mimosifolia,Jacaranda,10,10,9,Tree
151.1878165,-33.90635581,21751,TS06978,Street Tree,Jacaranda mimosifolia,Jacaranda,7,9,7,Tree
151.2070964,-33.92163418,21867,TS07219,Street Tree,Jacaranda mimosifolia,Jacaranda,7,8,9,Tree
151.2069468,-33.92251453,21871,TS07243,Street Tree,Jacaranda mimosifolia,Jacaranda,9,8,10,Tree
151.1917796,-33.89775596,21924,,Street Tree,Jacaranda mimosifolia,Jacaranda,3,2,2,Tree
151.183117,-33.90546805,21952,TP02105,Street Tree,Jacaranda mimosifolia,Jacaranda,10,10,10,Tree
151.193294,-33.91487608,21974,TS07408,Street Tree,Jacaranda mimosifolia,Jacaranda,9,9,8,Tree
151.1934608,-33.91494606,21975,TS07410,Street Tree,Jacaranda mimosifolia,Jacaranda,10,10,8,Tree
151.1872731,-33.89483464,22200,TS09460,Street Tree,Jacaranda mimosifolia,Jacaranda,9,5,7,Tree
151.2102067,-33.91661573,22213,TS10030,Street Tree,Jacaranda mimosifolia,Jacaranda,5,4,3,Tree
151.1941569,-33.90245417,22546,TS10142,Street Tree,Jacaranda mimosifolia,Jacaranda,9,8,9,Tree
151.1946533,-33.90190923,22548,TS10148,Street Tree,Jacaranda mimosifolia,Jacaranda,9,8,10,Tree
151.1943088,-33.90206892,22549,TS10151,Street Tree,Jacaranda mimosifolia,Jacaranda,8,7,6,Tree
151.193594,-33.90285585,22554,TS10164,Street Tree,Jacaranda mimosifolia,Jacaranda,8,6,6,Tree
151.1944603,-33.90188899,22563,TS10192,Street Tree,Jacaranda mimosifolia,Jacaranda,5,4,7,Tree
151.1945168,-33.90184573,22564,TS10189,Street Tree,Jacaranda mimosifolia,Jacaranda,5,5,5,Tree
151.1920613,-33.9047444,22567,TS10258,Street Tree,Jacaranda mimosifolia,Jacaranda,9,13,2,Tree
151.1922524,-33.90452258,22568,TS10261,Street Tree,Jacaranda mimosifolia,Jacaranda,10,13,10,Tree
151.1925391,-33.90423481,22571,TS10265,Street Tree,Jacaranda mimosifolia,Jacaranda,7,4,4,Tree
151.1925899,-33.9041682,22572,TS10266,Street Tree,Jacaranda mimosifolia,Jacaranda,9,9,9,Tree
151.1921532,-33.90443501,22577,TS10220,Street Tree,Jacaranda mimosifolia,Jacaranda,9,9,10,Tree
151.1898841,-33.90710346,22588,TS10317,Street Tree,Jacaranda mimosifolia,Jacaranda,10,6,8,Tree
151.190548,-33.90616874,22592,TS10303,Street Tree,Jacaranda mimosifolia,Jacaranda,11,11,11,Tree
151.1933482,-33.90333891,22613,TS10132,Street Tree,Jacaranda mimosifolia,Jacaranda,8,9,8,Tree
151.1940099,-33.90239954,22619,TS10155,Street Tree,Jacaranda mimosifolia,Jacaranda,5,4,4,Tree
151.1936561,-33.90278741,22622,TS10162,Street Tree,Jacaranda mimosifolia,Jacaranda,5,5,5,Tree
151.1936285,-33.90282263,22623,TS10163,Street Tree,Jacaranda mimosifolia,Jacaranda,8,6,6,Tree
151.1932447,-33.90324189,22624,TS10175,Street Tree,Jacaranda mimosifolia,Jacaranda,9,7,9,Tree
151.1935582,-33.90314306,22625,TS10193,Street Tree,Jacaranda mimosifolia,Jacaranda,9,4,3,Tree
151.1934464,-33.90323584,22626,TS10194,Street Tree,Jacaranda mimosifolia,Jacaranda,8,4,5,Tree
151.1937515,-33.90266609,22627,TS10195,Street Tree,Jacaranda mimosifolia,Jacaranda,5,5,5,Tree
151.1938811,-33.90254003,22629,TS10188,Street Tree,Jacaranda mimosifolia,Jacaranda,6,7,6,Tree
151.1942052,-33.90217715,22630,TS10190,Street Tree,Jacaranda mimosifolia,Jacaranda,5,4,4,Tree
151.1944098,-33.90195994,22631,TS10149,Street Tree,Jacaranda mimosifolia,Jacaranda,5,3,4,Tree
151.1922777,-33.90449491,22633,TS10262,Street Tree,Jacaranda mimosifolia,Jacaranda,10,13,11,Tree
151.19205,-33.90453648,22649,TS10223,Street Tree,Jacaranda mimosifolia,Jacaranda,8,7,7,Tree
151.1917044,-33.90491157,22653,TS10202,Street Tree,Jacaranda mimosifolia,Jacaranda,7,4,4,Tree
151.1918496,-33.90496321,22654,TS10203,Street Tree,Jacaranda mimosifolia,Jacaranda,7,7,7,Tree
151.1923322,-33.90422167,22655,TS10206,Street Tree,Jacaranda mimosifolia,Jacaranda,6,3,3,Tree
151.1864071,-33.89608297,22665,TS10374,Street Tree,Jacaranda mimosifolia,Jacaranda,6,6,5,Tree
151.2018317,-33.89473218,22667,TS08474,Street Tree,Jacaranda mimosifolia,Jacaranda,11,10,10,Tree
151.1863329,-33.8961092,22677,TS10375,Street Tree,Jacaranda mimosifolia,Jacaranda,5,5,4,Tree
151.1924882,-33.90427654,22707,TS10205,Street Tree,Jacaranda mimosifolia,Jacaranda,4,2,3,Tree
151.1919877,-33.90482944,22710,TS10257,Street Tree,Jacaranda mimosifolia,Jacaranda,6,1,1,Tree
151.1899611,-33.90701432,22711,TS10284,Street Tree,Jacaranda mimosifolia,Jacaranda,9,8,11,Tree
151.1900182,-33.90693879,22712,TS10286,Street Tree,Jacaranda mimosifolia,Jacaranda,7,8,6,Tree
151.1907986,-33.90587268,22719,TS10273,Street Tree,Jacaranda mimosifolia,Jacaranda,8,6,7,Tree
151.1899907,-33.90676336,22720,TS10270,Street Tree,Jacaranda mimosifolia,Jacaranda,5,4,6,Tree
151.18973,-33.90706485,22721,TS10322,Street Tree,Jacaranda mimosifolia,Jacaranda,5,4,5,Tree
151.1902092,-33.90652265,22722,TS10320,Street Tree,Jacaranda mimosifolia,Jacaranda,5,2,2,Tree
151.1900402,-33.90670845,22724,TS10291,Street Tree,Jacaranda mimosifolia,Jacaranda,4,2,2,Tree
151.1907786,-33.90590124,22725,TS10283,Street Tree,Jacaranda mimosifolia,Jacaranda,5,3,2,Tree
151.1901132,-33.90664153,22727,TS10290,Street Tree,Jacaranda mimosifolia,Jacaranda,5,1,1,Tree
151.1866348,-33.89600038,22747,TS31317,Street Tree,Jacaranda mimosifolia,Jacaranda,6,6,5,Tree
151.1970939,-33.89839827,22840,TS08609,Street Tree,Jacaranda mimosifolia,Jacaranda,6,4,5,Tree
151.1971936,-33.89873887,22841,TS08612,Street Tree,Jacaranda mimosifolia,Jacaranda,7,6,6,Tree
151.1799854,-33.8994536,22850,TS08654,Street Tree,Jacaranda mimosifolia,Jacaranda,8,6,5,Tree
151.2147891,-33.89528353,22988,TS10734,Street Tree,Jacaranda mimosifolia,Jacaranda,6,3,3,Tree
151.2143313,-33.89521657,22991,TS10738,Street Tree,Jacaranda mimosifolia,Jacaranda,8,4,9,Tree
151.215542,-33.89524106,22994,TS10747,Street Tree,Jacaranda mimosifolia,Jacaranda,9,8,12,Tree
151.1794544,-33.89962511,23055,TS08641,Street Tree,Jacaranda mimosifolia,Jacaranda,9,8,7,Tree
151.1794547,-33.89949175,23057,TS08660,Street Tree,Jacaranda mimosifolia,Jacaranda,8,7,8,Tree
151.2064921,-33.89198075,23092,TS08837,Street Tree,Jacaranda mimosifolia,Jacaranda,10,8,7,Tree
151.2063985,-33.89262035,23095,TS08848,Street Tree,Jacaranda mimosifolia,Jacaranda,11,13,13,Tree
151.2064307,-33.89299828,23096,TS08853,Street Tree,Jacaranda mimosifolia,Jacaranda,6,5,5,Tree
151.2065797,-33.89232054,23097,TS08861,Street Tree,Jacaranda mimosifolia,Jacaranda,11,6,7,Tree
151.2065847,-33.89224036,23098,TS08863,Street Tree,Jacaranda mimosifolia,Jacaranda,12,12,14,Tree
151.2066318,-33.89182634,23100,TS08869,Street Tree,Jacaranda mimosifolia,Jacaranda,9,4,3,Tree
151.2147317,-33.89527251,23184,TS10735,Street Tree,Jacaranda mimosifolia,Jacaranda,11,10,9,Tree
151.2142963,-33.8952121,23188,TS10739,Street Tree,Jacaranda mimosifolia,Jacaranda,10,9,11,Tree
151.2032687,-33.91700081,23270,TS11122,Street Tree,Jacaranda mimosifolia,Jacaranda,10,12,13,Tree
151.208139,-33.89929375,23522,TS11598,Street Tree,Jacaranda mimosifolia,Jacaranda,4,5,6,Tree
151.2081151,-33.89947952,23523,TS11599,Street Tree,Jacaranda mimosifolia,Jacaranda,9,6,7,Tree
151.1874839,-33.89530511,23635,TS09468,Street Tree,Jacaranda mimosifolia,Jacaranda,5,2,2,Tree
151.2096084,-33.89128053,23792,TS11510,Street Tree,Jacaranda mimosifolia,Jacaranda,9,9,6,Tree
151.2097635,-33.89129298,23794,TS11518,Street Tree,Jacaranda mimosifolia,Jacaranda,11,14,14,Tree
151.1937869,-33.90286427,23925,TS10138,Street Tree,Jacaranda mimosifolia,Jacaranda,10,8,9,Tree
151.1943433,-33.90202633,23926,TS10150,Street Tree,Jacaranda mimosifolia,Jacaranda,5,6,6,Tree
151.1932172,-33.90326953,23973,TS10176,Street Tree,Jacaranda mimosifolia,Jacaranda,6,5,5,Tree
151.1931369,-33.90334888,23974,TS10178,Street Tree,Jacaranda mimosifolia,Jacaranda,8,6,6,Tree
151.1942627,-33.90211406,23977,TS10187,Street Tree,Jacaranda mimosifolia,Jacaranda,5,3,3,Tree
151.2009326,-33.89544964,23995,TS12167,Street Tree,Jacaranda mimosifolia,Jacaranda,8,6,4,Tree
151.2012656,-33.89545468,23996,TS12169,Street Tree,Jacaranda mimosifolia,Jacaranda,8,6,5,Tree
151.200504,-33.89562598,23997,TS40578,Street Tree,Jacaranda mimosifolia,Jacaranda,4,1,1,Tree
151.2026512,-33.89556238,23998,TS12177,Street Tree,Jacaranda mimosifolia,Jacaranda,6,6,6,Tree
151.2017908,-33.89546109,24000,TS12184,Street Tree,Jacaranda mimosifolia,Jacaranda,9,5,4,Tree
151.2097608,-33.89646324,24015,TS12230,Street Tree,Jacaranda mimosifolia,Jacaranda,8,10,8,Tree
151.1960117,-33.89798304,24026,TS12290,Street Tree,Jacaranda mimosifolia,Jacaranda,8,6,7,Tree
151.1917076,-33.90512668,24046,TS10251,Street Tree,Jacaranda mimosifolia,Jacaranda,9,7,6,Tree
151.1919352,-33.90487357,24054,TS10256,Street Tree,Jacaranda mimosifolia,Jacaranda,4,2,2,Tree
151.1916069,-33.90521691,24055,TS10249,Street Tree,Jacaranda mimosifolia,Jacaranda,3,1,1,Tree
151.2092378,-33.8929889,24064,TS11534,Street Tree,Jacaranda mimosifolia,Jacaranda,10,10,7,Tree
151.2083145,-33.89840512,24074,TS11583,Street Tree,Jacaranda mimosifolia,Jacaranda,11,10,8,Tree
151.208309,-33.89843236,24075,TS11584,Street Tree,Jacaranda mimosifolia,Jacaranda,8,9,12,Tree
151.2083988,-33.89805151,24077,TS11582,Street Tree,Jacaranda mimosifolia,Jacaranda,14,10,9,Tree
151.2082103,-33.89901444,24080,TS11596,Street Tree,Jacaranda mimosifolia,Jacaranda,9,7,8,Tree
