lon,lat,TreeType,SpeciesName,CommonName,TreeHeight,TreeCanopyEW,TreeCanopyNS,Tree_Status
151.1791816,-33.88301653,Park Tree,Eucalyptus saligna,Sydney Blue Gum,13,3,5,Tree
151.179194,-33.88299499,Park Tree,Eucalyptus saligna,Sydney Blue Gum,14,3,4,Tree
151.179215,-33.88294895,Park Tree,Casuarina glauca,Swamp Oak,6,1,1,Tree
151.179223,-33.882935,Park Tree,Eucalyptus saligna,Sydney Blue Gum,11,8,7,Tree
151.1792061,-33.88285594,Park Tree,Angophora costata,Sydney Red Gum,7,3,3,Tree
151.179048,-33.88321682,Park Tree,Eucalyptus saligna,Sydney Blue Gum,15,5,6,Tree
151.178992,-33.88323303,Park Tree,Eucalyptus robusta,Swamp Mahogany,6,2,1,Tree
151.178997,-33.88321904,Park Tree,Eucalyptus robusta,Swamp Mahogany,8,2,2,Tree
151.1789701,-33.88319502,Park Tree,Eucalyptus saligna,Sydney Blue Gum,5,2,1,Tree
151.1791354,-33.88319899,Park Tree,Eucalyptus crebra,Red Ironbark,13,5,6,Tree
151.181991,-33.89562299,Park Tree,Caesalpinia ferrea,Leopard Tree,6,3,3,Tree
151.1820341,-33.89556799,Park Tree,Caesalpinia ferrea,Leopard Tree,7,4,2,Tree
151.182115,-33.89562301,Park Tree,Jacaranda mimosifolia,Jacaranda,7,3,2,Tree
151.1927102,-33.87938843,Park Tree,Platanus acerifolia,London Plane,18,13,16,Tree
151.1926461,-33.87921444,Park Tree,Ficus rubiginosa,Port Jackson or Rusty Fig,14,22,26,Tree
151.1927089,-33.87926289,Park Tree,Ficus rubiginosa,Port Jackson or Rusty Fig,15,20,20,Tree
151.185893,-33.87980158,Park Tree,Elaeocarpus reticulatus,Blueberry Ash,6,7,5,Tree
151.184624,-33.88020147,Park Tree,Eucalyptus crebra,Narrow Leaved Red Ironbark,11,11,12,Tree
151.1846501,-33.88013378,Park Tree,Callistemon salignus,Willow Bottlebrush,9,7,7,Tree
151.1843511,-33.88000214,Park Tree,Callistemon viminalis,Weeping Bottlebrush,4,2,5,Tree
151.1791251,-33.88322436,Park Tree,Eucalyptus botryoides,Swamp Mahogany,6,1,1,Tree
151.1791958,-33.88314199,Park Tree,Eucalyptus saligna,Sydney Blue Gum,16,3,4,Tree
151.179234,-33.88316104,Park Tree,Eucalyptus saligna,Sydney Blue Gum,12,2,2,Tree
151.1793049,-33.88312945,Park Tree,Acacia binervia,Coast Myall,7,5,5,Tree
151.1766528,-33.8827858,Park Tree,Acmena smithii,Lilly Pilly,6,4,4,Tree
