location_name,SA4,address,latitude,longitude,access,train,ferry,lightrail,bus,taxi,regional_coach,regional_train,coach
Olympic Park Station,Sydney - Parramatta,"Murray Rose Ave, Sydney Olympic Park NSW 2127",-33.84652,151.069547,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Orange Station,Outer,"Peisley St, Orange NSW 2800",-33.286992,149.103703,wheelchair_access,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Paddy's Markets Light Rail,Sydney - City and Inner South,"Quay St, Haymarket NSW 2000",-33.879253,151.202741,wheelchair_access,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Padstow Station,Sydney - Inner South West,"Howard Rd, Padstow NSW 2211",-33.951892,151.032557,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Panania Station,Sydney - Inner South West,"Sherlock Ave, Panania NSW 2213",-33.954311,150.997826,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Parramatta Station,Sydney - Parramatta,"Argyle St, Parramatta NSW 2150",-33.817579,151.005535,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Parramatta Wharf,Sydney - Parramatta,"Cnr Phillip St & Charles St, Parramatta NSW 2150",-33.813916,151.010585,wheelchair_access,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Pennant Hills Station,Sydney - Ryde,"Railway St, Pennant Hills NSW 2120",-33.737939,151.07253,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Penrith Station,Sydney - Outer West and Blue Mountains,"Jane St, Penrith NSW 2750",-33.750055,150.696135,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Penshurst Station,Sydney - Inner South West,"Bridge St, Penshurst NSW 2222",-33.96613,151.089387,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Picton Station,Sydney - Outer South West,"Station St, Picton NSW 2571",-34.179147,150.612602,wheelchair_access,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Port Kembla Station,Outer,"Old Port Kembla Rd, Port Kembla NSW 2505",-34.477245,150.901922,wheelchair_access,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Pyrmont Bay Light Rail,Sydney - City and Inner South,"Murray St, Pyrmont NSW 2009",-33.869202,151.19755,wheelchair_access,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Pyrmont Bay Wharf,Sydney - City and Inner South,"Murray St, Pyrmont NSW 2009",-33.868442,151.198729,wheelchair_access,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
