SA2_NAME16,total_pop,ancestry_1,ancestry_2,total_ancestry,pop_prop,sa3_name_2016,sa4_name_2016,focus_area,greater_syd_pop,greater_syd_average_viet,area_diff
Kingsgrove (South) - Bardwell Park,12615,223,31,254,0.020134760206103844,Kogarah - Rockdale,Sydney - Inner South West,Greater Sydney,4495958,0.02337165961069921,-0.0032368994045953656
Rockdale - Banksia,19960,317,46,363,0.01818637274549098,Kogarah - Rockdale,Sydney - Inner South West,Greater Sydney,4495958,0.02337165961069921,-0.005185286865208229
Sydney - Haymarket - The Rocks,27408,434,43,477,0.01740367775831874,Sydney Inner City,Sydney - City and Inner South,Greater Sydney,4495958,0.02337165961069921,-0.005967981852380469
Guildford West - Merrylands West,20722,298,57,355,0.017131551008589905,Merrylands - Guildford,Sydney - Parramatta,Greater Sydney,4495958,0.02337165961069921,-0.0062401086021093045
Arncliffe - Bardwell Valley,21443,319,39,358,0.016695425080445834,Kogarah - Rockdale,Sydney - Inner South West,Greater Sydney,4495958,0.02337165961069921,-0.006676234530253376
Croydon Park - Enfield,17222,219,65,284,0.016490535361746602,Strathfield - Burwood - Ashfield,Sydney - Inner West,Greater Sydney,4495958,0.02337165961069921,-0.006881124248952607
Homebush,16211,204,62,266,0.016408611436678797,Strathfield - Burwood - Ashfield,Sydney - Inner West,Greater Sydney,4495958,0.02337165961069921,-0.006963048174020412
Pyrmont - Ultimo,21655,302,49,351,0.016208727776495034,Sydney Inner City,Sydney - City and Inner South,Greater Sydney,4495958,0.02337165961069921,-0.007162931834204175
Redfern - Chippendale,22495,323,37,360,0.016003556345854635,Sydney Inner City,Sydney - City and Inner South,Greater Sydney,4495958,0.02337165961069921,-0.007368103264844574
Petersham - Stanmore,20234,250,63,313,0.015469012553128398,Marrickville - Sydenham - Petersham,Sydney - City and Inner South,Greater Sydney,4495958,0.02337165961069921,-0.007902647057570811
Ashfield,24497,274,66,340,0.013879250520471894,Strathfield - Burwood - Ashfield,Sydney - Inner West,Greater Sydney,4495958,0.02337165961069921,-0.009492409090227315
Macquarie Fields - Glenfield,23556,300,25,325,0.01379690949227373,Campbelltown (NSW),Sydney - Outer South West,Greater Sydney,4495958,0.02337165961069921,-0.00957475011842548
Erskineville - Alexandria,16236,175,47,222,0.013673318551367332,Sydney Inner City,Sydney - City and Inner South,Greater Sydney,4495958,0.02337165961069921,-0.009698341059331877
Rosemeadow - Glen Alpine,20876,239,45,284,0.013604138723893466,Campbelltown (NSW),Sydney - Outer South West,Greater Sydney,4495958,0.02337165961069921,-0.009767520886805743
Kensington (NSW),14887,158,29,187,0.012561295089675555,Eastern Suburbs - South,Sydney - Eastern Suburbs,Greater Sydney,4495958,0.02337165961069921,-0.010810364521023654
Concord West - North Strathfield,24850,232,79,311,0.012515090543259557,Canada Bay,Sydney - Inner West,Greater Sydney,4495958,0.02337165961069921,-0.010856569067439653
Horsley Park - Kemps Creek,4426,41,12,53,0.011974694984184365,Fairfield,Sydney - South West,Greater Sydney,4495958,0.02337165961069921,-0.011396964626514844
Surry Hills,16416,154,31,185,0.011269493177387914,Sydney Inner City,Sydney - City and Inner South,Greater Sydney,4495958,0.02337165961069921,-0.012102166433311296
Newtown - Camperdown - Darlington,24840,221,55,276,0.011111111111111112,Sydney Inner City,Sydney - City and Inner South,Greater Sydney,4495958,0.02337165961069921,-0.012260548499588098
Waterloo - Beaconsfield,33061,303,63,366,0.011070445540062309,Sydney Inner City,Sydney - City and Inner South,Greater Sydney,4495958,0.02337165961069921,-0.0123012140706369
Holsworthy - Wattle Grove,20706,179,43,222,0.010721529991306867,Liverpool,Sydney - South West,Greater Sydney,4495958,0.02337165961069921,-0.012650129619392343
Kingsford,15602,147,18,165,0.010575567234969876,Eastern Suburbs - South,Sydney - Eastern Suburbs,Greater Sydney,4495958,0.02337165961069921,-0.012796092375729333
North Ryde - East Ryde,12311,102,28,130,0.010559662090813094,Ryde - Hunters Hill,Sydney - Ryde,Greater Sydney,4495958,0.02337165961069921,-0.012811997519886115
West Ryde - Meadowbank,19375,155,47,202,0.010425806451612903,Ryde - Hunters Hill,Sydney - Ryde,Greater Sydney,4495958,0.02337165961069921,-0.012945853159086307
Auburn - Central,17175,114,62,176,0.01024745269286754,Auburn,Sydney - Parramatta,Greater Sydney,4495958,0.02337165961069921,-0.01312420691783167
Austral - Greendale,8918,73,15,88,0.009867683337071092,Bringelly - Green Valley,Sydney - South West,Greater Sydney,4495958,0.02337165961069921,-0.013503976273628118
Concord - Mortlake - Cabarita,21742,145,66,211,0.009704718977095024,Canada Bay,Sydney - Inner West,Greater Sydney,4495958,0.02337165961069921,-0.013666940633604185
Kogarah,11315,80,27,107,0.009456473707467963,Kogarah - Rockdale,Sydney - Inner South West,Greater Sydney,4495958,0.02337165961069921,-0.013915185903231247
Macquarie Park - Marsfield,21728,169,34,203,0.009342783505154639,Ryde - Hunters Hill,Sydney - Ryde,Greater Sydney,4495958,0.02337165961069921,-0.01402887610554457
Greystanes - Pemulwuy,26307,190,53,243,0.009237085186452275,Merrylands - Guildford,Sydney - Parramatta,Greater Sydney,4495958,0.02337165961069921,-0.014134574424246935
Merrylands - Holroyd,28452,209,52,261,0.009173344580345846,Merrylands - Guildford,Sydney - Parramatta,Greater Sydney,4495958,0.02337165961069921,-0.014198315030353363
Illawong - Alfords Point,10366,78,17,95,0.009164576500096468,Sutherland - Menai - Heathcote,Sydney - Sutherland,Greater Sydney,4495958,0.02337165961069921,-0.014207083110602741
Bexley,26480,195,45,240,0.00906344410876133,Kogarah - Rockdale,Sydney - Inner South West,Greater Sydney,4495958,0.02337165961069921,-0.01430821550193788
Drummoyne - Rodd Point,18326,109,53,162,0.008839899596202117,Canada Bay,Sydney - Inner West,Greater Sydney,4495958,0.02337165961069921,-0.014531760014497092
Monterey - Brighton-le-Sands - Kyeemagh,13972,96,26,122,0.008731749212711137,Kogarah - Rockdale,Sydney - Inner South West,Greater Sydney,4495958,0.02337165961069921,-0.014639910397988072
Hurstville,23613,143,62,205,0.00868165840850379,Hurstville,Sydney - Inner South West,Greater Sydney,4495958,0.02337165961069921,-0.01469000120219542
Darlinghurst,11317,79,19,98,0.008659538747017761,Sydney Inner City,Sydney - City and Inner South,Greater Sydney,4495958,0.02337165961069921,-0.014712120863681448
North Rocks,7878,48,20,68,0.008631632394008631,Parramatta,Sydney - Parramatta,Greater Sydney,4495958,0.02337165961069921,-0.014740027216690578
Gladesville - Huntleys Point,14409,96,27,123,0.008536331459504476,Ryde - Hunters Hill,Sydney - Ryde,Greater Sydney,4495958,0.02337165961069921,-0.014835328151194734
Haberfield - Summer Hill,13474,86,27,113,0.008386522190886151,Strathfield - Burwood - Ashfield,Sydney - Inner West,Greater Sydney,4495958,0.02337165961069921,-0.014985137419813058
Mascot - Eastlakes,24407,170,34,204,0.008358257876838611,Botany,Sydney - City and Inner South,Greater Sydney,4495958,0.02337165961069921,-0.015013401733860598
Leichhardt - Annandale,26388,144,76,220,0.008337122934667273,Leichhardt,Sydney - Inner West,Greater Sydney,4495958,0.02337165961069921,-0.015034536676031936
Homebush Bay - Silverwater,18733,116,40,156,0.008327550312283136,Auburn,Sydney - Parramatta,Greater Sydney,4495958,0.02337165961069921,-0.015044109298416073
North Parramatta,22232,157,28,185,0.008321338611011156,Parramatta,Sydney - Parramatta,Greater Sydney,4495958,0.02337165961069921,-0.015050320999688054
