x,y,objectid,asset_id,tree_type,species_name,common_name,tree_height,tree_canopy_ew,tree_canopy_ns,tree_status
151.196158414966,-33.8807393150005,44611,TS24946,Street Tree,Jacaranda mimosifolia,Jacaranda,7,7,6,Tree
151.176323699026,-33.8855345002233,44643,TS25057,Street Tree,Jacaranda mimosifolia,Jacaranda,10,10,9,Tree
151.214734741924,-33.8773717612469,44675,TS25249,Street Tree,Jacaranda mimosifolia,Jacaranda,8,7,9,Tree
151.214595428923,-33.8779821158879,44676,TS25252,Street Tree,Jacaranda mimosifolia,Jacaranda,11,11,13,Tree
151.195574927394,-33.8854366727063,44683,TS25321,Street Tree,Jacaranda mimosifolia,Jacaranda,15,10,11,Tree
151.228011290948,-33.8729135935665,44699,TS25377,Street Tree,Jacaranda mimosifolia,Jacaranda,6,2,3,Tree
151.226081429682,-33.8753144925409,44700,TS25417,Street Tree,Jacaranda mimosifolia,Jacaranda,9,10,12,Tree
151.226952905765,-33.8744307028425,44703,TS25409,Street Tree,Jacaranda mimosifolia,Jacaranda,7,4,3,Tree
151.227204855275,-33.8743233237119,44704,TS25411,Street Tree,Jacaranda mimosifolia,Jacaranda,11,12,8,Tree
151.227413579424,-33.8738491231735,44705,TS25395,Street Tree,Jacaranda mimosifolia,Jacaranda,6,6,5,Tree
151.227385772117,-33.8735052480992,44706,TS25399,Street Tree,Jacaranda mimosifolia,Jacaranda,5,4,3,Tree
151.218043386881,-33.8772203793543,44752,TS25724,Street Tree,Jacaranda mimosifolia,Jacaranda,5,6,6,Tree
151.218097472468,-33.8769277343014,44753,TS25734,Street Tree,Jacaranda mimosifolia,Jacaranda,5,8,10,Tree
151.218165429685,-33.8766126560743,44754,TS25735,Street Tree,Jacaranda mimosifolia,Jacaranda,7,12,10,Tree
151.217981692824,-33.8775409585297,44755,TS25738,Street Tree,Jacaranda mimosifolia,Jacaranda,11,8,12,Tree
151.227658340956,-33.8735455099182,44784,TS25921,Street Tree,Jacaranda mimosifolia,Jacaranda,16,22,20,Tree
151.191622690813,-33.8693016151715,44876,TP12607,Park Tree,Jacaranda mimosifolia,Jacaranda,10,8,11,Tree
151.179821885853,-33.8742828011426,44937,TS26487,Street Tree,Lagerstroemia indica,Crepe Myrtle,4,4,4,Tree
151.179855423164,-33.8743172921163,44938,TS26488,Street Tree,Lagerstroemia indica,Crepe Myrtle,5,3,3,Tree
151.179920797259,-33.8743950859345,44939,TS26490,Street Tree,Lagerstroemia indica,Crepe Myrtle,6,7,6,Tree
151.179642485961,-33.8738423572406,44941,TS39378,Street Tree,Lagerstroemia indica,Crepe Myrtle,4,2,2,Tree
151.179613443343,-33.8739423815815,44942,TS39381,Street Tree,Lagerstroemia indica,Crepe Myrtle,3,2,1,Tree
151.178393623205,-33.8804508466795,44960,TS26577,Street Tree,Jacaranda mimosifolia,Jacaranda,7,8,10,Tree
151.181949490851,-33.8783363246895,45002,TS26793,Street Tree,Lagerstroemia indica,Crepe Myrtle,5,5,4,Tree
151.190218532945,-33.8764208760624,45004,TS26806,Street Tree,Jacaranda mimosifolia,Jacaranda,13,9,7,Tree
